Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-VOLPONI, PAUL",55905913,Game seven /,18,3/11/2015,,,x,,,,x,,,,,,x,,,,,,,,,
"YA-VON ZIEGESAR, CECILY",52389004,Gossip girl /,36,12/20/2011,,,,,x,,,,,,,,,,,,,,,,,
"YA-WAGAHARA, SATOSHI #10",67177980,The devil is a part-timer!,0,3/24/2020,,,,,,,,,,,,,,,,,,,,,,
"YA-WAGAHARA, SATOSHI #5",67176685,The devil is a part-timer!.,0,3/24/2020,,,,,,,,,,,,,,,,,,,,,,
"YA-WAGNER, LAURA ROSE",55915607,"Hold tight, don't let go /",14,1/14/2015,,,x,,,,x,,,,,,,,,,,,,,,x
"YA-WALLACE, BECKY",55905731,The storyspinner /,26,3/11/2015,,,x,,,,,,,,,,,,,,,,,,,
"YA-WALLACE, BECKY #2",57627630,The skylighter /,11,4/20/2016,,,x,,,,,,,,,,,,,,,,,,,
"YA-WALLACH, TOMMY",57008443,We all looked up /,23,3/19/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-WALLER, SHARON BIGGS",70239678,Girls on the verge /,9,4/12/2019,,,,,x,,,x,x,,,,,,,,,,,,,
"YA-WALTER, JON",57694838,My name is not Friday /,26,1/15/2016,x,,,,,,,,,,,,,,,,,,,,,
"YA-WALTHER, K. L.",70439146,If we were us /,7,7/1/2020,,,,,x,,,,x,,,,,,,,,,,,,
"YA-WALTON, LESLYE",55994743,The strange & beautiful sorrows of Ava Lavender /,46,8/6/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-WALTON, LESLYE",70142047,The price guide to the occult /,8,4/10/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-WANG, CORRIE",57968265,The takedown /,13,5/24/2017,,x,,,,,,,,,,,,,,,,,,,,x
"YA-WANG, CORRIE",70276506,City of beasts /,7,10/4/2019,,x,,,x,,,,,,,,,,,,,,,,,x
"YA-WARD, KAITLIN",70247879,Where she fell /,6,3/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-WARGA, JASMINE",57018087,My heart and other black holes /,33,2/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-WARGA, JASMINE",70140850,Here we are now /,7,11/29/2017,,,,,,,,,,,,,,,,,,x,,x,,x
"YA-WARMAN, JESSICA",53119319,Beautiful lies /,15,8/15/2012,,,,,,,,,,,,,,,,,,,,,,
"YA-WATSON, RENEE",55949176,This side of home /,37,1/29/2015,x,,,,,,,,,,,,,,,,,,,,,x
"YA-WATSON, RENEE",70220231,Piecing me together /,20,6/5/2018,x,,,,,,,,,,,,,,,,,,,,,x
"YA-WATSON, RENEE",60645207,Watch us rise /,11,2/11/2019,x,x,x,,,,,x,,,,,,,,,x,,,,,x
"YA-WATSON, SARAH",71706584,Most likely /,1,3/7/2020,x,,,,x,,,,x,,,,,x,,,,,,,,x
"YA-WAUDBY, JEANNIE",57720997,One of us /,10,11/20/2015,,,,,,,,,,,,,,,,,,,,,,
"YA-WEES, ALYSSA",70246376,The waking forest /,10,3/20/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-WEIN, ELIZABETH",53166310,Code name Verity /,82,5/18/2012,,,,,x,,,,,,,,,,,,,,,,,
